scenario,profile,threads,run,run_id,evidence_dir,samples,successes,failures,error_rate_pct,throughput_req_s,mean_ms,p50_ms,p95_ms,p99_ms,max_ms,redis_get_delta,redis_keyspace_hits_delta,redis_keyspace_misses_delta,redis_total_commands_delta,redis_get_per_request,http_429,http_5xx,docker_cpu_pct_avg,docker_mem_pct_avg,host_cpu_pct,host_mem_pct,seckill_voucher_id,initial_stock,accepted,final_redis_stock,mysql_orders,distinct_users,duplicate_orders,redis_ordered_users,stream_pending,stream_dlq,convergence_seconds,correctness_pass,client_limited,status,notes
shop,off,50,1,shop-off-50-r1,shop-off-50-r1,120363,120363,0,0.0,2011.918,19.764,18.0,35.0,49.0,117.0,120363,120461,0,120592,1.0,0,0,151.41,8.14,98.7,97.6,,,,,,,,,,,,,true,done,"client-limited (host CPU saturated, containers not)"
shop,off,50,2,shop-off-50-r2,shop-off-50-r2,128834,128834,0,0.0,2152.543,17.531,16.0,29.0,39.0,128.0,128834,128930,0,129139,1.0,0,0,154.7,8.12,98.8,96.5,,,,,,,,,,,,,true,done,"client-limited (host CPU saturated, containers not)"
shop,off,50,3,shop-off-50-r3,shop-off-50-r3,149796,149796,0,0.0,2499.725,16.369,15.0,28.0,37.0,113.0,149796,149890,0,150026,1.0,0,0,151.12,8.16,94.5,96.0,,,,,,,,,,,,,true,done,"client-limited (host CPU saturated, containers not)"
shop,on,50,1,shop-on-50-r1,shop-on-50-r1,154923,154923,0,0.0,2589.516,14.572,13.0,25.0,33.0,104.0,219,315,0,449,0.0014,0,0,156.63,7.96,99.1,93.4,,,,,,,,,,,,,true,done,"client-limited (host CPU saturated, containers not)"
shop,on,50,2,shop-on-50-r2,shop-on-50-r2,185154,185154,0,0.0,3089.865,12.801,12.0,25.0,35.0,221.0,208,300,0,484,0.0011,0,0,162.24,8.09,97.3,93.5,,,,,,,,,,,,,true,done,"client-limited (host CPU saturated, containers not)"
shop,on,50,3,shop-on-50-r3,shop-on-50-r3,331624,331624,0,0.0,5534.631,7.613,5.0,21.0,29.0,79.0,213,307,0,490,0.0006,0,0,172.97,8.22,96.6,94.3,,,,,,,,,,,,,true,done,"client-limited (host CPU saturated, containers not)"
shop,off,100,1,shop-off-100-r1,shop-off-100-r1,154998,154998,0,0.0,2588.953,26.588,25.0,45.0,59.0,170.0,154998,155094,0,155228,1.0,0,0,176.68,8.25,98.4,89.8,,,,,,,,,,,,,true,done,"client-limited (host CPU saturated, containers not)"
shop,off,100,2,shop-off-100-r2,shop-off-100-r2,192736,192736,0,0.0,3219.833,23.11,21.0,49.0,73.0,288.0,192736,192832,0,192966,1.0,0,0,207.66,8.39,99.3,89.8,,,,,,,,,,,,,true,done,"client-limited (host CPU saturated, containers not)"
shop,off,100,3,shop-off-100-r3,shop-off-100-r3,145936,145936,0,0.0,2440.728,28.591,27.0,51.0,66.0,209.0,145936,146034,0,146217,1.0,0,0,189.59,8.4,99.1,94.1,,,,,,,,,,,,,true,done,"client-limited (host CPU saturated, containers not)"
shop,on,100,1,shop-on-100-r1,shop-on-100-r1,195525,195525,0,0.0,3263.972,20.137,19.0,38.0,52.0,138.0,327,421,0,604,0.0017,0,0,183.81,8.38,98.6,94.5,,,,,,,,,,,,,true,done,"client-limited (host CPU saturated, containers not)"
