scenario,profile,concurrency_or_users,run,samples,successes,failures,error_rate_pct,throughput_req_s,p50_ms,p95_ms,p99_ms,redis_get_per_request,persisted_orders,distinct_users,duplicate_orders,oversell,stream_pending,stream_dlq,correctness_pass
hot-query,OFF,50,1,746368,746368,0,0.0,12447.142,3.0,6.0,8.0,0.84471467,,,,,,,
hot-query,OFF,50,2,726899,726899,0,0.0,12122.459,3.0,6.0,8.0,0.74996389,,,,,,,
hot-query,OFF,50,3,722630,722630,0,0.0,12051.265,4.0,6.0,8.0,0.83120131,,,,,,,
hot-query,ON,50,1,861117,861117,0,0.0,14361.764,3.0,5.0,7.0,0.00029032,,,,,,,
hot-query,ON,50,2,852168,852168,0,0.0,14211.801,3.0,5.0,7.0,0.00023470,,,,,,,
hot-query,ON,50,3,854773,854773,0,0.0,14256.196,3.0,5.0,7.0,0.00018250,,,,,,,
hot-query,OFF,100,1,857141,857141,0,0.0,14294.737,6.0,11.0,15.0,0.83764865,,,,,,,
hot-query,OFF,100,2,865517,865517,0,0.0,14434.425,6.0,11.0,15.0,0.91809866,,,,,,,
hot-query,OFF,100,3,874385,874385,0,0.0,14581.589,6.0,10.0,14.0,0.77092471,,,,,,,
hot-query,ON,100,1,988850,988850,0,0.0,16491.003,5.0,9.0,13.0,0.00018810,,,,,,,
hot-query,ON,100,2,1031627,1031627,0,0.0,17204.106,5.0,9.0,13.0,0.00017933,,,,,,,
hot-query,ON,100,3,1018876,1018876,0,0.0,16990.895,5.0,9.0,13.0,0.00010305,,,,,,,
hot-query,OFF,200,1,915060,915060,0,0.0,15258.884,11.0,21.0,30.0,0.79348349,,,,,,,
hot-query,OFF,200,2,936157,936157,0,0.0,15609.901,10.0,21.0,30.0,0.82764323,,,,,,,
hot-query,OFF,200,3,938169,938169,0,0.0,15642.929,10.0,20.0,30.0,0.97889613,,,,,,,
hot-query,ON,200,1,1021616,1021616,0,0.0,17035.735,10.0,17.0,24.0,0.00015074,,,,,,,
hot-query,ON,200,2,1028916,1028916,0,0.0,17157.751,9.0,17.0,24.0,0.00017786,,,,,,,
hot-query,ON,200,3,1039353,1039353,0,0.0,17334.106,9.0,17.0,23.0,0.00016645,,,,,,,
hot-query,OFF,500,1,928506,928506,0,0.0,15474.068,29.0,40.0,51.0,0.81137979,,,,,,,
hot-query,OFF,500,2,937920,937920,0,0.0,15628.614,29.0,40.0,52.0,0.78802776,,,,,,,
hot-query,OFF,500,3,938411,938411,0,0.0,15532.748,29.0,41.0,52.0,0.70927131,,,,,,,
hot-query,ON,500,1,1041948,1041948,0,0.0,17363.774,26.0,36.0,45.0,0.00013052,,,,,,,
hot-query,ON,500,2,1047755,1047755,0,0.0,17461.71,26.0,35.0,43.0,0.00009162,,,,,,,
hot-query,ON,500,3,1021801,1021801,0,0.0,17028.598,27.0,36.0,45.0,0.00008906,,,,,,,
seckill,BURST,300,1,300,300,0,0.0,149.402,6.0,103.0,123.0,,300,300,0,false,0,0,true
seckill,BURST,300,2,300,300,0,0.0,149.031,5.0,14.0,34.0,,300,300,0,false,0,0,true
seckill,BURST,300,3,300,300,0,0.0,149.402,5.0,14.0,31.0,,300,300,0,false,0,0,true
seckill,BURST,500,1,500,500,0,0.0,261.643,5.0,22.0,35.0,,500,500,0,false,0,0,true
seckill,BURST,500,2,500,500,0,0.0,261.506,5.0,25.0,39.0,,500,500,0,false,0,0,true
seckill,BURST,500,3,500,500,0,0.0,262.192,4.0,48.0,54.0,,500,500,0,false,0,0,true
seckill,BURST,800,1,800,800,0,0.0,346.17,4.0,12.0,34.0,,800,800,0,false,0,0,true
seckill,BURST,800,2,800,800,0,0.0,346.47,4.0,9.0,35.0,,800,800,0,false,0,0,true
seckill,BURST,800,3,800,800,0,0.0,346.32,4.0,9.0,36.0,,800,800,0,false,0,0,true
seckill,BURST,1000,1,1000,1000,0,0.0,525.762,4.0,43.0,49.0,,1000,1000,0,false,0,0,true
seckill,BURST,1000,2,1000,1000,0,0.0,524.384,4.0,39.0,41.0,,1000,1000,0,false,0,0,true
seckill,BURST,1000,3,1000,1000,0,0.0,527.148,4.0,40.0,44.0,,1000,1000,0,false,0,0,true
